,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
161,BANKNIFTY29OCT2023900PE,27-10-2020 09:29,332.85,27-10-2020 09:48,190.8
162,BANKNIFTY29OCT2024800CE,28-10-2020 09:29,275.55,28-10-2020 10:04,141.75
163,BANKNIFTY29OCT2024800PE,28-10-2020 09:29,297.95,28-10-2020 10:04,489.4
164,BANKNIFTY29OCT2024000CE,29-10-2020 09:29,196.6,29-10-2020 10:20,204.3
165,BANKNIFTY29OCT2024000PE,29-10-2020 09:29,188.15,29-10-2020 10:20,127.75
166,BANKNIFTY05NOV2024100CE,30-10-2020 09:29,582.8,30-10-2020 14:43,408.5
167,BANKNIFTY05NOV2024100PE,30-10-2020 09:29,559.55,30-10-2020 14:43,611
168,BANKNIFTY05NOV2024200CE,02-11-2020 09:29,442.65,02-11-2020 11:19,697.55
169,BANKNIFTY05NOV2024200PE,02-11-2020 09:29,479.65,02-11-2020 11:19,321.1
170,BANKNIFTY05NOV2025400CE,03-11-2020 09:29,468.25,03-11-2020 14:31,442.95
171,BANKNIFTY05NOV2025400PE,03-11-2020 09:29,485.65,03-11-2020 14:31,414.25
172,BANKNIFTY05NOV2025500CE,04-11-2020 09:29,377,04-11-2020 10:36,316.65
173,BANKNIFTY05NOV2025500PE,04-11-2020 09:29,429,04-11-2020 10:36,406.2
174,BANKNIFTY05NOV2026100CE,05-11-2020 09:29,170.65,05-11-2020 10:06,165.25
175,BANKNIFTY05NOV2026100PE,05-11-2020 09:29,158.25,05-11-2020 10:06,129.45
176,BANKNIFTY12NOV2026200CE,06-11-2020 09:29,446.6,06-11-2020 12:42,658.85
177,BANKNIFTY12NOV2026200PE,06-11-2020 09:29,437.1,06-11-2020 12:42,314.65
178,BANKNIFTY12NOV2027300CE,09-11-2020 09:29,389.1,09-11-2020 15:24,482.05
179,BANKNIFTY12NOV2027300PE,09-11-2020 09:29,422.85,09-11-2020 15:24,262.5
180,BANKNIFTY12NOV2027900CE,10-11-2020 09:29,357.9,10-11-2020 09:51,514.15
181,BANKNIFTY12NOV2027900PE,10-11-2020 09:29,341.95,10-11-2020 09:51,271.4
182,BANKNIFTY12NOV2028900CE,11-11-2020 09:29,332.25,11-11-2020 10:50,327.6
183,BANKNIFTY12NOV2028900PE,11-11-2020 09:29,376.2,11-11-2020 10:50,300.4
184,BANKNIFTY12NOV2028500CE,12-11-2020 09:29,181.8,12-11-2020 12:30,129.55
185,BANKNIFTY12NOV2028500PE,12-11-2020 09:29,179,12-11-2020 12:30,172.05
186,BANKNIFTY19NOV2027800CE,13-11-2020 09:29,483.85,13-11-2020 15:24,857.55
187,BANKNIFTY19NOV2027800PE,13-11-2020 09:29,489.6,13-11-2020 15:24,171.7
188,BANKNIFTY19NOV2028900CE,17-11-2020 09:29,339.7,17-11-2020 11:43,341.25
189,BANKNIFTY19NOV2028900PE,17-11-2020 09:29,396.4,17-11-2020 11:43,318.5
190,BANKNIFTY19NOV2029300CE,18-11-2020 09:29,295.15,18-11-2020 12:21,298.75
191,BANKNIFTY19NOV2029300PE,18-11-2020 09:29,259.55,18-11-2020 12:21,199
192,BANKNIFTY19NOV2029400CE,19-11-2020 09:29,160.1,19-11-2020 09:42,237.3
193,BANKNIFTY19NOV2029400PE,19-11-2020 09:29,125.55,19-11-2020 09:42,80.2
194,BANKNIFTY26NOV2028800CE,20-11-2020 09:29,501.8,20-11-2020 15:24,656.75
195,BANKNIFTY26NOV2028800PE,20-11-2020 09:29,480.45,20-11-2020 15:24,280
196,BANKNIFTY26NOV2029400CE,23-11-2020 09:29,408.85,23-11-2020 09:57,288.25
197,BANKNIFTY26NOV2029400PE,23-11-2020 09:29,451.15,23-11-2020 09:57,699.2
198,BANKNIFTY26NOV2029300CE,24-11-2020 09:29,399.55,24-11-2020 15:24,610.8
199,BANKNIFTY26NOV2029300PE,24-11-2020 09:29,352.5,24-11-2020 15:24,146.6
200,BANKNIFTY26NOV2030100CE,25-11-2020 09:29,300.1,25-11-2020 10:43,225.2
201,BANKNIFTY26NOV2030100PE,25-11-2020 09:29,293.55,25-11-2020 10:43,429.55
202,BANKNIFTY26NOV2029200CE,26-11-2020 09:29,187.95,26-11-2020 10:51,153.8
203,BANKNIFTY26NOV2029200PE,26-11-2020 09:29,179.3,26-11-2020 10:51,175.2
204,BANKNIFTY03DEC2029500CE,27-11-2020 09:29,500.7,27-11-2020 14:09,483.3
205,BANKNIFTY03DEC2029500PE,27-11-2020 09:29,472.1,27-11-2020 14:09,390.5
206,BANKNIFTY03DEC2029600CE,01-12-2020 09:29,408.45,01-12-2020 13:08,459.2
207,BANKNIFTY03DEC2029600PE,01-12-2020 09:29,428.75,01-12-2020 13:08,284.1
208,BANKNIFTY03DEC2029800CE,02-12-2020 09:29,278.65,02-12-2020 11:22,232.55
209,BANKNIFTY03DEC2029800PE,02-12-2020 09:29,360.55,02-12-2020 11:22,342.5
210,BANKNIFTY03DEC2029600CE,03-12-2020 09:29,146.7,03-12-2020 11:19,198.6
211,BANKNIFTY03DEC2029600PE,03-12-2020 09:29,198.3,03-12-2020 11:19,111.6
212,BANKNIFTY10DEC2029600CE,04-12-2020 09:29,441.25,04-12-2020 12:56,364.85
213,BANKNIFTY10DEC2029600PE,04-12-2020 09:29,459.95,04-12-2020 12:56,442.75
214,BANKNIFTY10DEC2030000CE,07-12-2020 09:29,366.2,07-12-2020 15:24,456.05
215,BANKNIFTY10DEC2030000PE,07-12-2020 09:29,389.1,07-12-2020 15:24,253.85
216,BANKNIFTY10DEC2030300CE,08-12-2020 09:29,289.3,08-12-2020 12:57,299.5
217,BANKNIFTY10DEC2030300PE,08-12-2020 09:29,404.35,08-12-2020 12:57,317.35
218,BANKNIFTY10DEC2030400CE,09-12-2020 09:29,229,09-12-2020 11:37,244
219,BANKNIFTY10DEC2030400PE,09-12-2020 09:29,279,09-12-2020 11:37,213.05
220,BANKNIFTY10DEC2030600CE,10-12-2020 09:29,104.6,10-12-2020 09:41,84.9
221,BANKNIFTY10DEC2030600PE,10-12-2020 09:29,202,10-12-2020 09:41,253.7
222,BANKNIFTY17DEC2030800CE,11-12-2020 09:29,371.05,11-12-2020 15:24,297.45
223,BANKNIFTY17DEC2030800PE,11-12-2020 09:29,455.75,11-12-2020 15:24,488.5
224,BANKNIFTY17DEC2030800CE,14-12-2020 09:29,343.6,14-12-2020 15:24,310.5
225,BANKNIFTY17DEC2030800PE,14-12-2020 09:29,371.35,14-12-2020 15:24,342
226,BANKNIFTY17DEC2030600CE,15-12-2020 09:29,332.15,15-12-2020 13:08,266.35
227,BANKNIFTY17DEC2030600PE,15-12-2020 09:29,300.95,15-12-2020 13:08,297.55
228,BANKNIFTY17DEC2030800CE,16-12-2020 09:29,240.45,16-12-2020 13:25,187
229,BANKNIFTY17DEC2030800PE,16-12-2020 09:29,220.45,16-12-2020 13:25,226.75
230,BANKNIFTY17DEC2030700CE,17-12-2020 09:29,111.1,17-12-2020 11:27,162
231,BANKNIFTY17DEC2030700PE,17-12-2020 09:29,168.65,17-12-2020 11:27,88.1
232,BANKNIFTY24DEC2030700CE,18-12-2020 09:29,373.95,18-12-2020 09:59,293.7
233,BANKNIFTY24DEC2030700PE,18-12-2020 09:29,379.8,18-12-2020 09:59,540.45
234,BANKNIFTY24DEC2030300CE,21-12-2020 09:29,347.05,21-12-2020 13:37,255.1
235,BANKNIFTY24DEC2030300PE,21-12-2020 09:29,309.05,21-12-2020 13:37,498.35
236,BANKNIFTY24DEC2029400CE,22-12-2020 09:29,387.05,22-12-2020 12:46,310.5
237,BANKNIFTY24DEC2029400PE,22-12-2020 09:29,365.95,22-12-2020 12:46,359.65
238,BANKNIFTY24DEC2029600CE,23-12-2020 09:29,218.15,23-12-2020 14:13,306.85
239,BANKNIFTY24DEC2029600PE,23-12-2020 09:29,238,23-12-2020 14:13,101.55
240,BANKNIFTY24DEC2030200CE,24-12-2020 09:29,139.45,24-12-2020 10:15,254.1
241,BANKNIFTY24DEC2030200PE,24-12-2020 09:29,139.7,24-12-2020 10:15,56.8
242,BANKNIFTY31DEC2030800CE,28-12-2020 09:29,328.8,28-12-2020 13:43,348.15
243,BANKNIFTY31DEC2030800PE,28-12-2020 09:29,339.75,28-12-2020 13:43,252.2
244,BANKNIFTY31DEC2031300CE,29-12-2020 09:29,272.15,29-12-2020 13:10,274.75
245,BANKNIFTY31DEC2031300PE,29-12-2020 09:29,274.6,29-12-2020 13:10,216.65
246,BANKNIFTY31DEC2031200CE,30-12-2020 09:29,283.9,30-12-2020 10:24,248.25
247,BANKNIFTY31DEC2031200PE,30-12-2020 09:29,240.1,30-12-2020 10:24,221.7
248,BANKNIFTY31DEC2031300CE,31-12-2020 09:29,173.85,31-12-2020 10:37,161.8
249,BANKNIFTY31DEC2031300PE,31-12-2020 09:29,124,31-12-2020 10:37,105.05
